Ref;Tipo;Nickname;Nombre;Correo;Contraseña;Imagen;FechaAlta
US01;A;aerolineas;Aerolíneas Argentinas;servicioalcliente@aerolineas.com.uy;zaq1xsw2;US01.png;01/01/2024
US02;A;aireuropa;Air Europa;reservas@aireuropa.com.uy;cde3vfr4;US02.png;01/01/2024
US03;C;anarod87;Ana;arodriguez87@netuy.com;bgt5nhy6;US03.jpg;01/01/2024
US04;C;claire93d;Claire;claire.db@frmail.fr;mju76yhn;US04.jpeg;01/01/2024
US05;A;copaair;Copa Airlines;contacto@copaair.com.uy;2wsx3edc;US05.png;01/01/2024
US06;C;csexto;Cristian;csexto@adinet.com.uy;4rfvbgt5;US06.jpeg;01/01/2024
US07;C;ejstar;Emily;emily.j@hotmail.com;lkjoiu987;US07.jpeg;01/01/2024
US08;C;hernacar;Carlos;carlosh89@mxmail.com;poi098lkj;US08.jpg;01/01/2024
US09;A;iberia;Iberia;atencionclientes@iberia.com.uy;qwer1234;US09.png;01/01/2024
US10;C;jackwil;Jack;jack.w.90@mail.br;asdfzxcv;US10.jpeg;01/01/2024
US11;C;juanitop;Juan;juanito.uy@correo.com;cde34rfv;US11.jpeg;01/01/2024
US12;A;latam;LATAM Airlines;info@latam.com.uy;mki8nju7;US12.png;01/01/2024
US13;C;liamth;Liam;liam.t.ca@mailbox.com;bhu7vgy7;US13.jpeg;01/01/2024
US14;C;marsil14;Martín;m.silva94@webmail.uy;vgy6cft5;US13.jpeg;01/01/2024
US15;C;martig;Marta;marta.garcia95@webmail.es;cft5xdr4;US15.jpeg;01/01/2024
US16;C;sofi89;Sofía;sofia.lopez@correouruguay.com;xde2zsw1;US16.jpeg;01/01/2024
US17;A;zfly;Zulu Fly;info@zfly.com;r45tgvcf;US17.png;01/01/2024
